Name,Height,Weight,Preferred Foot,Birth Date,Age,Preferred Positions,OVR,POT,Value,Wage,GK Reflexes,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeper
Casemiro ,185 cm,84 kg,Right,"Feb. 23, 1992",31,CDM,89,89,72000000.0,235.0,12,74.0,88.5,85.16666666666667,79.0,73.28571428571429,75.875,13.4
Marc-André ter Stegen ,187 cm,85 kg,Right,"April 30, 1992",31,GK,89,89,54500000.0,225.0,91,25.5,11.5,50.166666666666664,47.333333333333336,51.714285714285715,21.375,87.4
Neymar Jr ,175 cm,68 kg,Right,"Feb. 5, 1992",31,LW,89,89,85500000.0,115.0,11,94.5,30.5,76.16666666666667,83.0,78.57142857142857,82.25,11.8
Federico Valverde ,182 cm,78 kg,Right,"July 22, 1998",25,"CM, RW",88,92,104500000.0,270.0,8,85.5,82.0,84.83333333333333,84.33333333333333,81.28571428571429,73.25,9.0
Victor Osimhen ,185 cm,78 kg,Right,"Dec. 29, 1998",24,ST,88,91,107000000.0,120.0,6,84.5,33.5,71.83333333333333,63.333333333333336,83.71428571428571,76.375,10.6
Bernardo Silva ,173 cm,64 kg,Left,"Aug. 10, 1994",29,"CM, RW",88,88,91500000.0,270.0,9,91.5,68.0,83.5,85.66666666666667,77.0,73.375,10.8
Joshua Kimmich ,177 cm,75 kg,Right,"Feb. 8, 1995",28,"CDM, RB, CM",88,89,80500000.0,130.0,15,83.5,81.0,85.33333333333333,90.0,78.57142857142857,75.0,12.0
Bruno Fernandes ,179 cm,69 kg,Right,"Sept. 8, 1994",29,"CAM, CM",88,88,92000000.0,260.0,14,84.5,69.5,84.16666666666667,89.66666666666667,76.14285714285714,84.125,12.6
Ederson ,188 cm,86 kg,Left,"Aug. 17, 1993",30,GK,88,89,62500000.0,205.0,86,31.5,11.5,52.0,48.666666666666664,62.285714285714285,27.25,86.2
Jan Oblak ,188 cm,87 kg,Right,"Jan. 7, 1993",30,GK,88,88,61000000.0,90.0,87,21.0,16.0,48.5,32.0,57.0,18.5,85.2
Antoine Griezmann ,176 cm,73 kg,Left,"March 21, 1991",32,"ST, CF",88,88,74000000.0,135.0,14,88.5,61.5,81.33333333333333,85.66666666666667,81.85714285714286,85.625,12.6
Gregor Kobel ,195 cm,88 kg,Right,"Dec. 6, 1997",26,GK,87,90,64500000.0,65.0,89,29.0,15.0,43.0,28.333333333333332,48.285714285714285,17.0,83.6
Lautaro Martínez ,174 cm,72 kg,Right,"Aug. 22, 1997",26,ST,87,90,90000000.0,150.0,13,85.0,37.5,79.66666666666667,69.0,84.57142857142857,79.5,9.6
Gianluigi Donnarumma ,196 cm,90 kg,Right,"Feb. 25, 1999",24,GK,87,90,68000000.0,90.0,89,29.0,15.0,46.5,27.333333333333332,54.857142857142854,20.0,84.8
Frenkie de Jong ,181 cm,74 kg,Right,"May 12, 1997",26,"CM, CDM",87,90,86500000.0,240.0,9,88.0,76.5,83.16666666666667,86.0,82.0,68.625,9.8
Martin Ødegaard ,178 cm,68 kg,Left,"Dec. 17, 1998",24,"CAM, CM",87,90,92000000.0,170.0,10,87.5,54.5,78.66666666666667,87.33333333333333,73.57142857142857,76.5,12.4
Mike Maignan ,191 cm,89 kg,Right,"July 3, 1995",28,GK,87,89,61000000.0,90.0,89,35.5,17.5,48.833333333333336,48.0,56.0,25.25,85.6
Marquinhos ,183 cm,75 kg,Right,"May 14, 1994",29,CB,87,88,66500000.0,140.0,13,74.5,88.5,81.33333333333333,79.0,77.42857142857143,54.375,9.4
Heung Min Son ,183 cm,78 kg,Right,"July 8, 1992",31,LW,87,87,77000000.0,170.0,10,84.5,33.5,74.66666666666667,79.0,79.71428571428571,80.875,10.6
Luka Modrić ,172 cm,66 kg,Right,"Sept. 9, 1985",38,CM,87,87,25000000.0,190.0,9,87.0,72.5,81.0,89.66666666666667,76.71428571428571,76.25,10.4
Manuel Neuer ,193 cm,93 kg,Right,"March 27, 1986",37,GK,87,87,2000000.0,55.0,84,38.0,10.5,49.166666666666664,47.666666666666664,54.857142857142854,25.625,86.2
Jamal Musiala ,184 cm,72 kg,Right,"Feb. 26, 2003",20,"CAM, CM, LM",86,93,76500000.0,80.0,11,91.5,65.5,76.16666666666667,75.33333333333333,78.71428571428571,65.125,8.4
Ronald Araujo ,188 cm,79 kg,Right,"March 7, 1999",24,"CB, RB",86,91,68500000.0,175.0,8,61.5,86.0,74.5,66.66666666666667,73.85714285714286,51.25,10.6
Jude Bellingham ,186 cm,75 kg,Right,"June 29, 2003",20,"CM, CAM",86,91,76000000.0,175.0,8,86.5,78.0,84.0,79.66666666666667,79.85714285714286,71.125,9.6
Pedri ,174 cm,60 kg,Right,"Nov. 25, 2002",21,CM,86,92,76000000.0,165.0,8,87.5,71.0,79.33333333333333,80.66666666666667,81.14285714285714,63.5,9.2
Khvicha Kvaratskhelia ,183 cm,70 kg,Right,"Feb. 12, 2001",22,"LW, RW",86,92,80000000.0,95.0,8,88.5,36.5,73.0,79.0,78.71428571428571,72.625,10.8
Bukayo Saka ,178 cm,65 kg,Left,"Sept. 5, 2001",22,"RW, RM",86,90,80000000.0,150.0,13,88.0,61.0,76.66666666666667,77.66666666666667,79.71428571428571,74.5,10.0
Rafael Leão ,188 cm,81 kg,Right,"June 10, 1999",24,"LW, CF, ST",86,91,78500000.0,110.0,9,88.0,22.5,68.33333333333333,73.66666666666667,84.71428571428571,72.5,11.4
Sandro Tonali ,181 cm,79 kg,Right,"May 8, 2000",23,"CDM, CM",86,89,69500000.0,140.0,7,81.5,82.5,81.66666666666667,82.0,83.28571428571429,74.0,8.8
Éder Militão ,186 cm,78 kg,Right,"Jan. 18, 1998",25,CB,86,89,65500000.0,210.0,15,71.0,86.0,75.33333333333333,74.33333333333333,79.71428571428571,54.125,12.2
Matthijs de Ligt ,189 cm,89 kg,Right,"Aug. 12, 1999",24,CB,86,89,68500000.0,85.0,10,69.0,86.5,70.66666666666667,69.66666666666667,71.57142857142857,60.25,11.2
Christopher Nkunku ,175 cm,73 kg,Right,"Nov. 14, 1997",26,"CF, CAM, ST",86,88,76500000.0,185.0,7,88.5,59.0,76.5,82.0,79.57142857142857,75.5,8.6
Ousmane Dembélé ,178 cm,67 kg,Left,"May 15, 1997",26,"RW, LW",86,87,74000000.0,150.0,13,88.0,31.5,69.16666666666667,80.66666666666667,77.57142857142857,71.875,9.8
Trent Alexander-Arnold ,180 cm,69 kg,Right,"Oct. 7, 1998",25,RB,86,88,71500000.0,140.0,7,81.0,80.5,81.0,90.66666666666667,75.0,72.375,11.2
Nicolò Barella ,175 cm,68 kg,Right,"Feb. 7, 1997",26,CM,86,88,73500000.0,135.0,11,84.0,80.0,84.83333333333333,82.66666666666667,82.42857142857143,73.25,10.8
Sergej Milinković-Savić ,192 cm,95 kg,Right,"Feb. 27, 1995",28,CM,86,86,68000000.0,85.0,7,86.0,76.5,81.83333333333333,81.0,75.28571428571429,78.0,9.4
Andrew Robertson ,178 cm,64 kg,Left,"March 11, 1994",29,LB,86,86,59500000.0,170.0,14,82.0,82.0,83.0,81.66666666666667,78.0,62.875,10.0
N'Golo Kanté ,168 cm,70 kg,Right,"March 29, 1991",32,"CDM, CM",86,86,45000000.0,75.0,10,79.5,87.5,83.16666666666667,74.0,76.0,57.75,10.8
Paulo Dybala ,177 cm,75 kg,Left,"Nov. 15, 1993",30,"CF, CAM",86,86,68000000.0,130.0,8,91.5,40.0,69.33333333333333,82.33333333333333,77.57142857142857,83.5,5.2
João Cancelo ,182 cm,74 kg,Right,"May 27, 1994",29,"LB, RB",86,86,59500000.0,195.0,14,85.5,81.0,82.0,84.33333333333333,78.57142857142857,71.25,11.6
Sadio Mané ,174 cm,69 kg,Right,"April 10, 1992",31,"CF, LM, ST",86,86,57500000.0,85.0,14,86.5,40.0,75.0,77.33333333333333,82.57142857142857,77.25,11.2
Parejo ,182 cm,74 kg,Right,"April 16, 1989",34,"CM, CDM",86,86,31500000.0,65.0,8,83.5,72.0,79.0,89.33333333333333,63.42857142857143,81.5,9.6
İlkay Gündoğan ,180 cm,80 kg,Right,"Oct. 24, 1990",33,"CM, CDM",86,86,53500000.0,225.0,13,88.5,71.0,81.33333333333333,83.0,70.57142857142857,76.5,9.6
Wojciech Szczęsny ,195 cm,90 kg,Right,"April 18, 1990",33,GK,86,86,22000000.0,125.0,87,16.5,12.5,44.0,26.666666666666668,54.857142857142854,19.875,83.0
Toni Kroos ,183 cm,76 kg,Right,"Jan. 4, 1990",33,"CM, CDM",86,86,42000000.0,240.0,10,84.0,65.0,81.16666666666667,90.66666666666667,63.57142857142857,79.125,10.2
Cristiano Ronaldo ,187 cm,85 kg,Right,"Feb. 5, 1985",38,ST,86,86,23000000.0,65.0,11,81.5,27.5,72.66666666666667,74.0,76.28571428571429,84.75,11.6
Florian Wirtz ,177 cm,71 kg,Right,"May 3, 2003",20,"CAM, CM",85,91,60500000.0,65.0,10,88.0,50.5,74.0,82.0,73.42857142857143,67.875,11.4
Bruno Guimarães ,182 cm,74 kg,Right,"Nov. 16, 1997",26,"CM, CDM",85,87,59500000.0,155.0,11,85.0,81.5,84.0,80.66666666666667,77.57142857142857,70.625,11.0
Rodrygo ,174 cm,64 kg,Right,"Jan. 9, 2001",22,"RW, LW, ST",85,91,63500000.0,210.0,5,86.5,32.0,67.5,77.33333333333333,79.85714285714286,76.125,8.4
Jules Koundé ,180 cm,75 kg,Right,"Nov. 12, 1998",25,"CB, RB",85,89,54500000.0,160.0,13,74.5,85.0,73.5,73.0,80.14285714285714,44.75,11.2
Phil Foden ,171 cm,69 kg,Left,"May 28, 2000",23,"LW, RW",85,90,62000000.0,180.0,13,89.0,53.0,75.33333333333333,82.0,76.85714285714286,69.375,10.4
Alessandro Bastoni ,190 cm,75 kg,Left,"April 13, 1999",24,CB,85,90,54500000.0,95.0,12,74.5,85.5,74.66666666666667,76.66666666666667,73.0,45.75,9.6
Declan Rice ,185 cm,80 kg,Right,"Jan. 14, 1999",24,"CDM, CM",85,87,55000000.0,130.0,9,79.5,83.0,78.66666666666667,74.0,72.85714285714286,66.25,9.4
Theo Hernández ,184 cm,81 kg,Left,"Oct. 6, 1997",26,"LB, LM",85,90,54500000.0,90.0,7,81.0,80.5,79.66666666666667,77.0,85.85714285714286,68.0,8.6
Marcus Rashford ,186 cm,70 kg,Right,"Oct. 31, 1997",26,"LW, LM, ST",85,88,60000000.0,185.0,14,85.0,35.5,73.66666666666667,76.33333333333333,81.28571428571429,82.0,10.6
André Onana ,190 cm,93 kg,Right,"April 2, 1996",27,GK,85,86,41500000.0,130.0,85,32.0,16.0,45.0,37.0,62.57142857142857,25.25,84.0
Diogo Jota ,178 cm,68 kg,Right,"Dec. 4, 1996",27,"CF, LW",85,87,60000000.0,180.0,11,84.5,51.0,79.0,74.0,82.28571428571429,77.125,10.8
Marcos Acuña ,172 cm,69 kg,Left,"Oct. 28, 1991",32,"LB, LM",85,85,39000000.0,46.0,14,83.0,84.5,82.66666666666667,82.33333333333333,82.42857142857143,74.625,12.4
Giovanni Di Lorenzo ,183 cm,83 kg,Right,"Aug. 4, 1993",30,RB,85,85,47500000.0,85.0,7,78.5,82.0,76.5,78.0,83.14285714285714,67.5,8.6
Kingsley Coman ,181 cm,75 kg,Right,"June 13, 1996",27,"LM, RM",85,85,57500000.0,100.0,5,87.5,24.0,64.83333333333333,78.33333333333333,81.14285714285714,73.5,4.2
Aymeric Laporte ,191 cm,85 kg,Left,"May 27, 1994",29,CB,85,86,45000000.0,70.0,5,71.5,85.5,76.33333333333333,74.0,66.0,57.375,9.0
Domenico Berardi ,183 cm,72 kg,Left,"Aug. 1, 1994",29,"RW, RM",85,85,54500000.0,40.0,6,86.5,30.0,73.66666666666667,80.66666666666667,80.0,77.125,5.4
Thomas Partey ,185 cm,77 kg,Right,"June 13, 1993",30,"CDM, CM",85,85,45000000.0,150.0,7,84.0,82.0,81.66666666666667,82.0,69.57142857142857,67.75,9.8
Yassine Bounou ,195 cm,78 kg,Left,"April 5, 1991",32,GK,85,85,26500000.0,55.0,87,16.0,16.5,41.166666666666664,32.666666666666664,47.0,21.75,83.0
Leon Goretzka ,189 cm,82 kg,Right,"Feb. 6, 1995",28,"CM, CDM",85,85,54000000.0,170.0,9,84.0,79.5,83.33333333333333,81.0,81.0,77.25,11.2
Hakan Çalhanoğlu ,178 cm,76 kg,Right,"Feb. 8, 1994",29,"CM, CDM",85,85,52500000.0,130.0,10,86.5,67.5,80.83333333333333,84.33333333333333,70.71428571428571,78.25,10.0
Jack Grealish ,180 cm,81 kg,Right,"Sept. 10, 1995",28,"LW, LM",85,85,57500000.0,200.0,13,89.5,51.0,75.83333333333333,83.0,78.14285714285714,70.75,10.2
Antonio Rüdiger ,190 cm,85 kg,Right,"March 3, 1993",30,CB,85,85,44000000.0,200.0,8,67.5,83.5,74.0,76.66666666666667,74.14285714285714,56.5,11.8
Riyad Mahrez ,179 cm,67 kg,Left,"Feb. 21, 1991",32,"RM, RW",85,86,43000000.0,65.0,6,90.0,26.5,70.0,79.33333333333333,77.0,76.875,10.8
John Stones ,188 cm,76 kg,Right,"May 28, 1994",29,"CB, RB",85,86,45000000.0,180.0,8,79.5,85.0,77.83333333333333,76.0,71.85714285714286,52.75,10.2
Emiliano Martínez ,195 cm,88 kg,Right,"Sept. 2, 1992",31,GK,85,85,36000000.0,100.0,85,27.5,20.0,45.333333333333336,46.0,57.285714285714285,27.125,83.4
Raphaël Varane ,191 cm,81 kg,Right,"April 25, 1993",30,CB,85,85,44000000.0,120.0,14,68.5,85.0,74.16666666666667,65.33333333333333,71.14285714285714,52.375,10.0
David Alaba ,180 cm,78 kg,Left,"June 24, 1992",31,"CB, LB",85,85,37000000.0,200.0,9,81.0,83.5,81.5,84.0,78.42857142857143,76.0,10.0
Keylor Navas ,185 cm,80 kg,Right,"Dec. 15, 1986",36,GK,85,85,1400000.0,60.0,87,27.0,14.0,46.166666666666664,29.333333333333332,59.285714285714285,20.875,82.0
Iago Aspas ,176 cm,67 kg,Left,"Aug. 1, 1987",36,ST,85,85,23000000.0,38.0,13,87.0,19.5,73.66666666666667,77.66666666666667,75.57142857142857,82.0,12.4
Ciro Immobile ,185 cm,85 kg,Right,"Feb. 20, 1990",33,ST,85,85,34500000.0,90.0,6,78.5,32.5,72.5,63.666666666666664,80.57142857142857,79.875,9.4
Kevin Trapp ,189 cm,84 kg,Right,"July 8, 1990",33,GK,85,85,26500000.0,50.0,86,17.0,12.0,42.833333333333336,16.666666666666668,51.57142857142857,18.75,82.4
Kieran Trippier ,173 cm,71 kg,Right,"Sept. 19, 1990",33,RB,85,85,37500000.0,150.0,10,80.5,82.5,81.5,87.33333333333333,72.85714285714286,73.0,10.8
Sven Botman ,193 cm,81 kg,Left,"Jan. 12, 2000",23,CB,84,87,42500000.0,120.0,14,68.5,84.0,72.16666666666667,66.0,66.28571428571429,43.25,9.8
Gabriel Martinelli ,178 cm,75 kg,Right,"June 18, 2001",22,"LW, LM",84,88,49500000.0,145.0,6,86.5,43.5,73.5,74.33333333333333,82.0,73.375,7.0
Dušan Vlahović ,190 cm,75 kg,Left,"Jan. 28, 2000",23,ST,84,88,49500000.0,140.0,10,83.0,25.5,68.66666666666667,62.333333333333336,76.28571428571429,80.625,9.4
Moussa Diaby ,171 cm,67 kg,Left,"July 7, 1999",24,"RM, LM",84,88,48500000.0,105.0,14,86.0,40.5,70.33333333333333,76.0,79.57142857142857,59.125,9.4
Aurélien Tchouaméni ,187 cm,81 kg,Right,"Jan. 27, 2000",23,"CDM, CM",84,89,43000000.0,160.0,7,79.5,80.5,81.0,79.0,76.57142857142857,65.75,9.6
Luis Díaz ,180 cm,73 kg,Right,"Jan. 13, 1997",26,"LW, LM",84,85,46000000.0,165.0,14,88.0,36.0,70.0,74.33333333333333,82.85714285714286,72.625,12.8
Bremer ,188 cm,82 kg,Right,"March 18, 1997",26,CB,84,87,40000000.0,135.0,6,63.5,85.0,71.16666666666667,61.666666666666664,77.85714285714286,48.5,10.4
Lisandro Martínez ,178 cm,77 kg,Left,"Jan. 18, 1998",25,CB,84,87,40500000.0,140.0,8,78.5,85.5,81.16666666666667,80.33333333333333,79.0,63.375,11.0
Reece James ,178 cm,87 kg,Right,"Dec. 8, 1999",24,"RB, RWB",84,86,44500000.0,120.0,11,82.5,82.5,80.5,83.0,81.28571428571429,73.375,10.2
Randal Kolo Muani ,187 cm,73 kg,Right,"Dec. 5, 1998",25,"ST, RM",84,87,49500000.0,110.0,5,86.5,32.5,68.33333333333333,69.0,83.57142857142857,73.25,9.8
Kim Min Jae ,190 cm,86 kg,Right,"Nov. 15, 1996",27,CB,84,86,40000000.0,80.0,11,62.5,86.0,71.33333333333333,59.666666666666664,76.71428571428571,37.875,11.2
Federico Chiesa ,175 cm,70 kg,Right,"Oct. 25, 1997",26,"LM, LW, RW",84,85,47000000.0,140.0,7,85.5,46.0,75.66666666666667,75.0,83.28571428571429,73.0,7.4
Achraf Hakimi ,181 cm,73 kg,Right,"Nov. 4, 1998",25,"RB, RWB",84,86,44500000.0,90.0,8,80.5,76.0,78.66666666666667,79.66666666666667,84.57142857142857,73.125,9.2
Aaron Ramsdale ,191 cm,77 kg,Right,"May 14, 1998",25,GK,84,87,34000000.0,105.0,86,27.0,15.5,48.333333333333336,42.666666666666664,51.142857142857146,22.875,83.4
Raphinha ,176 cm,68 kg,Left,"Dec. 14, 1996",26,RW,84,85,46000000.0,205.0,14,86.0,46.0,76.33333333333333,77.33333333333333,83.14285714285714,78.0,10.0
Fikayo Tomori ,185 cm,79 kg,Right,"Dec. 19, 1997",25,CB,84,88,40500000.0,85.0,7,63.5,86.0,69.66666666666667,63.0,80.71428571428571,44.25,10.2
Gabriel ,190 cm,87 kg,Left,"Dec. 19, 1997",25,CB,84,86,40500000.0,130.0,7,61.5,84.5,72.16666666666667,63.333333333333336,67.0,44.5,10.0
Milan Škriniar ,187 cm,80 kg,Right,"Feb. 11, 1995",28,CB,84,84,36500000.0,110.0,12,67.0,85.5,68.0,61.666666666666664,74.28571428571429,45.0,11.0
Gabriel Jesus ,175 cm,73 kg,Right,"April 3, 1997",26,"ST, RW",84,85,47000000.0,165.0,15,87.5,29.0,74.5,73.66666666666667,84.28571428571429,75.875,9.6
Álex Remiro ,192 cm,79 kg,Right,"March 24, 1995",28,GK,84,86,30000000.0,42.0,86,22.5,17.5,39.0,25.666666666666668,54.0,20.875,82.8
Ismaël Bennacer ,175 cm,70 kg,Left,"Dec. 1, 1997",26,"CDM, CM, CAM",84,88,41500000.0,85.0,15,85.5,81.5,82.0,80.66666666666667,81.42857142857143,71.5,12.4
Marcos Llorente ,184 cm,74 kg,Right,"Jan. 30, 1995",28,"RM, CM, RB",84,84,42500000.0,85.0,15,80.0,76.5,81.0,79.33333333333333,83.0,72.0,10.2
Mikel Merino ,189 cm,83 kg,Left,"June 22, 1996",27,"CM, CAM, LM",84,85,44500000.0,115.0,14,84.0,80.0,83.0,82.33333333333333,77.57142857142857,75.625,11.4
Rúben Neves ,183 cm,83 kg,Right,"March 13, 1997",26,"CDM, CM",84,86,40500000.0,60.0,10,78.5,78.0,80.0,85.33333333333333,67.28571428571429,76.625,11.2
Leroy Sané ,183 cm,80 kg,Left,"Jan. 11, 1996",27,"RM, LM",84,84,45000000.0,90.0,14,85.5,33.5,70.66666666666667,77.66666666666667,81.0,79.25,10.4
Lucas Hernández ,184 cm,79 kg,Left,"Feb. 14, 1996",27,"CB, LB",84,85,39000000.0,105.0,10,69.0,84.0,76.66666666666667,72.66666666666667,74.71428571428571,54.375,9.8
James Maddison ,175 cm,73 kg,Right,"Nov. 23, 1996",27,"CAM, RM, CM",84,85,46000000.0,120.0,14,87.0,53.5,75.66666666666667,84.66666666666667,71.42857142857143,75.5,13.0
Stanislav Lobotka ,170 cm,64 kg,Right,"Nov. 25, 1994",29,"CM, CDM",84,84,42000000.0,85.0,14,84.0,80.0,80.33333333333333,81.66666666666667,75.85714285714286,61.75,12.0
Pierre-Emile Højbjerg ,187 cm,84 kg,Right,"Aug. 5, 1995",28,"CDM, CM",84,85,39500000.0,110.0,11,79.5,79.0,80.83333333333333,78.66666666666667,67.71428571428571,70.5,10.0
Rodrigo Javier De Paul ,180 cm,70 kg,Right,"May 24, 1994",29,CM,84,84,41000000.0,85.0,14,83.5,78.0,81.16666666666667,82.66666666666667,80.28571428571429,73.625,11.2
Julian Brandt ,185 cm,83 kg,Right,"May 2, 1996",27,"CAM, RM, CM",84,85,45000000.0,70.0,9,86.5,50.5,73.33333333333333,83.66666666666667,76.85714285714286,73.5,11.0
Niklas Süle ,195 cm,99 kg,Right,"Sept. 3, 1995",28,"CB, RB",84,86,39000000.0,65.0,15,64.5,87.0,73.33333333333333,70.33333333333333,65.85714285714286,53.625,11.6
Grimaldo ,171 cm,67 kg,Left,"Sept. 20, 1995",28,"LWB, LM",84,84,40500000.0,75.0,13,83.5,77.0,79.16666666666667,81.66666666666667,81.85714285714286,71.75,10.0
Adrien Rabiot ,191 cm,80 kg,Left,"April 3, 1995",28,"CM, LM",84,84,42000000.0,150.0,15,82.5,82.0,82.33333333333333,80.66666666666667,79.0,73.25,10.4
Fabinho ,188 cm,78 kg,Right,"Oct. 23, 1993",30,CDM,84,84,36000000.0,65.0,8,79.5,83.0,79.83333333333333,80.33333333333333,68.71428571428571,68.75,9.4
Yannick Carrasco ,181 cm,73 kg,Right,"Sept. 4, 1993",30,"LW, LWB, LM",84,84,41500000.0,70.0,10,86.0,62.5,74.33333333333333,78.66666666666667,77.28571428571429,77.75,9.8
Matthias Ginter ,189 cm,86 kg,Right,"Jan. 19, 1994",29,CB,84,84,35500000.0,47.0,10,68.0,82.0,74.83333333333333,73.66666666666667,66.42857142857143,58.625,9.2
Serge Gnabry ,176 cm,77 kg,Right,"July 14, 1995",28,"RM, ST, LM",84,84,45000000.0,90.0,7,83.5,43.5,70.83333333333333,77.66666666666667,78.42857142857143,73.125,10.0
Nick Pope ,199 cm,76 kg,Right,"April 19, 1992",31,GK,84,84,22500000.0,110.0,86,20.0,14.5,44.166666666666664,31.666666666666668,51.142857142857146,19.625,82.0
Memphis Depay ,176 cm,78 kg,Right,"Feb. 13, 1994",29,"CF, LW, ST",84,84,42000000.0,90.0,10,85.5,25.5,72.16666666666667,79.66666666666667,81.85714285714286,79.0,10.0
Kalidou Koulibaly ,186 cm,93 kg,Right,"June 20, 1991",32,CB,84,84,27500000.0,60.0,5,71.0,84.0,74.66666666666667,63.333333333333336,67.0,52.5,8.6
Luis Alberto ,183 cm,74 kg,Right,"Sept. 28, 1992",31,CM,84,84,40500000.0,80.0,11,86.5,62.5,69.83333333333333,82.33333333333333,70.85714285714286,72.875,8.6
Koke ,176 cm,75 kg,Right,"Jan. 8, 1992",31,"CDM, CM",84,84,29500000.0,75.0,13,80.0,77.0,81.83333333333333,84.66666666666667,74.71428571428571,71.5,10.8
Koen Casteels ,197 cm,86 kg,Left,"June 25, 1992",31,GK,84,84,22500000.0,55.0,86,18.5,18.0,37.666666666666664,29.0,52.57142857142857,21.375,82.8
Romelu Lukaku ,191 cm,94 kg,Left,"May 13, 1993",30,ST,84,84,41500000.0,165.0,10,80.0,35.5,70.33333333333333,73.33333333333333,74.42857142857143,80.375,10.8
Chris Smalling ,194 cm,81 kg,Right,"Nov. 22, 1989",34,CB,84,84,20000000.0,90.0,15,62.0,87.0,75.0,60.333333333333336,66.14285714285714,48.625,14.2
Thomas Müller ,185 cm,76 kg,Right,"Sept. 13, 1989",34,"CAM, CF, ST",84,84,26500000.0,90.0,14,80.5,51.5,79.66666666666667,83.0,68.28571428571429,76.75,10.4
Thiago ,174 cm,70 kg,Right,"April 11, 1991",32,CM,84,84,33000000.0,150.0,13,90.0,72.5,80.33333333333333,85.33333333333333,70.85714285714286,73.375,9.2
Kyle Walker ,183 cm,83 kg,Right,"May 28, 1990",33,RB,84,84,22000000.0,155.0,8,80.0,84.0,76.5,79.66666666666667,80.28571428571429,68.0,11.4
Péter Gulácsi ,191 cm,86 kg,Right,"May 6, 1990",33,GK,84,84,13500000.0,60.0,84,22.0,18.0,39.5,27.333333333333332,50.285714285714285,20.625,82.4
Yann Sommer ,183 cm,79 kg,Right,"Dec. 17, 1988",34,GK,84,84,7000000.0,85.0,90,20.0,15.5,45.666666666666664,29.666666666666668,56.42857142857143,19.25,82.8
Thiago Silva ,183 cm,79 kg,Right,"Sept. 22, 1984",39,CB,84,84,7500000.0,100.0,10,73.5,85.5,77.5,75.66666666666667,64.0,62.625,9.0
Gavi ,173 cm,70 kg,Right,"Aug. 5, 2004",19,"CM, LW",83,90,37500000.0,60.0,13,85.5,75.0,81.33333333333333,78.33333333333333,76.0,57.5,9.8
Jeremie Frimpong ,171 cm,64 kg,Right,"Dec. 10, 2000",23,"RWB, RM",83,88,39000000.0,60.0,14,83.0,76.5,77.83333333333333,74.0,84.0,52.25,10.8
Nico Schlotterbeck ,191 cm,90 kg,Left,"Dec. 1, 1999",24,CB,83,88,36500000.0,50.0,13,72.5,84.5,75.33333333333333,68.66666666666667,77.14285714285714,56.25,10.6
